,State_FIPS10,County_FIPS10,ZCTA5,Total_Pop,Hispanic_Total,Non_Hispanic_Total,NH_White_alone,NH_Black_alone,NH_AIAN_alone,NH_API_alone,NH_Other_alone,NH_Mult_Total,NH_White_Other,NH_Black_Other,NH_AIAN_Other,NH_Asian_HPI,NH_API_Other,NH_Asian_HPI_Other
13563,,,42084,70,0,70,69,0,0,0,0,1,0,0,0,0,0,0
13564,,,42085,717,15,702,667,21,1,5,0,8,0,0,0,0,1,0
13565,,,42086,3103,34,3069,2911,118,10,4,2,24,2,0,0,0,0,0
13566,,,42087,1918,22,1896,1834,37,0,2,0,23,0,0,0,1,0,0
13567,,,42088,1980,14,1966,1896,41,1,10,0,18,0,0,0,0,0,0
13568,,,42101,43480,2208,41272,34162,5441,108,1033,36,492,12,5,0,7,14,0
13569,,,42102,66,17,49,47,1,0,0,1,0,0,0,0,0,0,0
13570,,,42103,14321,338,13983,12731,631,32,475,6,108,5,0,0,0,14,0
13571,,,42104,22853,519,22334,20056,1337,43,713,12,173,4,0,0,9,2,0
13572,,,42120,1970,13,1957,1930,5,3,0,0,19,1,0,0,0,0,0
13573,,,42122,3300,31,3269,3142,65,9,29,1,23,2,0,0,0,0,0
13574,,,42123,626,7,619,614,0,1,1,0,3,0,0,0,0,0,0
13575,,,42124,43,0,43,43,0,0,0,0,0,0,0,0,0,0,0
13576,,,42127,4692,95,4597,4385,159,14,14,0,25,1,0,0,0,0,0
13577,,,42129,5388,37,5351,5240,56,12,6,1,36,1,0,0,0,0,0
13578,,,42130,130,1,129,124,4,1,0,0,0,0,0,0,0,0,0
13579,,,42133,1078,13,1065,1044,9,2,0,0,10,1,0,0,0,0,0
13580,,,42134,12680,176,12504,11055,1203,29,92,3,122,2,1,0,0,0,0
