,name,geo_id_raw,ZCTA5,State_FIPS20,County_FIPS20,Total_Pop,Hispanic_Total,Non_Hispanic_Total,NH_White_alone,NH_Black_alone,NH_AIAN_alone,NH_API_alone,NH_Other_alone,NH_Mult_Total,NH_White_Other,NH_Black_Other,NH_AIAN_Other,NH_Asian_HPI,NH_Asian_HPI_Other,NH_API_Other
15516,ZCTA5 46714,860Z200US46714,46714,,,11582,383,11199,10708,111,26,58.0,20,276,64,3,0,0,0,0.0
15517,ZCTA5 46721,860Z200US46721,46721,,,3677,103,3574,3465,7,12,8.0,4,78,22,1,0,0,0,0.0
15518,ZCTA5 46723,860Z200US46723,46723,,,5701,101,5600,5398,13,15,15.0,8,151,37,2,0,0,0,0.0
15519,ZCTA5 46725,860Z200US46725,46725,,,18537,387,18150,17428,72,40,112.0,45,453,94,3,0,0,0,0.0
15520,ZCTA5 46730,860Z200US46730,46730,,,1010,17,993,950,1,1,3.0,2,36,8,0,0,0,0,0.0
15521,ZCTA5 46731,860Z200US46731,46731,,,414,4,410,407,0,3,0.0,0,0,0,0,0,0,0,0.0
15522,ZCTA5 46732,860Z200US46732,46732,,,2149,322,1827,1768,1,5,10.0,0,43,12,0,0,0,0,0.0
15523,ZCTA5 46733,860Z200US46733,46733,,,14165,774,13391,12899,88,42,59.0,14,289,70,4,0,0,0,0.0
15524,ZCTA5 46737,860Z200US46737,46737,,,5524,99,5425,5275,8,6,22.0,11,103,52,0,0,0,0,0.0
15525,ZCTA5 46738,860Z200US46738,46738,,,6050,146,5904,5666,20,12,43.0,5,158,29,0,0,1,0,0.0
15526,ZCTA5 46740,860Z200US46740,46740,,,2696,80,2616,2586,2,6,5.0,0,17,2,1,0,0,0,0.0
15527,ZCTA5 46741,860Z200US46741,46741,,,3071,54,3017,2925,13,4,8.0,4,63,12,0,0,0,0,0.0
15528,ZCTA5 46742,860Z200US46742,46742,,,2649,37,2612,2532,9,1,5.0,0,65,12,0,0,0,0,0.0
15529,ZCTA5 46743,860Z200US46743,46743,,,1648,13,1635,1579,10,2,4.0,6,34,2,0,0,0,0,0.0
15530,ZCTA5 46745,860Z200US46745,46745,,,1377,15,1362,1305,13,4,6.0,0,34,10,0,0,1,0,0.0
15531,ZCTA5 46746,860Z200US46746,46746,,,2926,309,2617,2504,13,8,10.0,2,80,17,0,0,0,0,0.0
15532,ZCTA5 46747,860Z200US46747,46747,,,2132,21,2111,2064,2,1,3.0,2,39,16,0,0,0,0,0.0
15533,ZCTA5 46748,860Z200US46748,46748,,,4972,144,4828,4410,91,7,155.0,10,155,30,0,0,3,0,0.0
15534,ZCTA5 46750,860Z200US46750,46750,,,20796,526,20270,19334,130,93,111.0,40,562,133,0,2,1,0,0.0
15535,ZCTA5 46755,860Z200US46755,46755,,,11895,456,11439,10823,59,23,88.0,24,422,88,5,0,1,0,0.0
15536,ZCTA5 46759,860Z200US46759,46759,,,363,2,361,345,1,0,3.0,1,11,2,0,0,0,0,0.0
15537,ZCTA5 46760,860Z200US46760,46760,,,948,90,858,840,1,0,2.0,0,15,5,0,0,0,0,0.0
15538,ZCTA5 46761,860Z200US46761,46761,,,8676,518,8158,7942,28,15,12.0,4,157,48,0,0,3,0,0.0
15539,ZCTA5 46763,860Z200US46763,46763,,,1357,15,1342,1309,3,2,1.0,2,25,9,0,0,0,0,0.0
15540,ZCTA5 46764,860Z200US46764,46764,,,1052,26,1026,972,4,1,5.0,1,43,13,0,0,0,0,0.0
15541,ZCTA5 46765,860Z200US46765,46765,,,4052,86,3966,3834,26,6,12.0,8,80,14,0,0,0,0,0.0
15542,ZCTA5 46766,860Z200US46766,46766,,,398,9,389,384,0,1,0.0,0,4,0,0,0,0,0,0.0
15543,ZCTA5 46767,860Z200US46767,46767,,,5920,2202,3718,3549,31,3,37.0,4,94,24,0,0,0,0,0.0
15544,ZCTA5 46770,860Z200US46770,46770,,,2123,24,2099,2032,10,3,5.0,3,46,25,1,0,0,0,0.0
15545,ZCTA5 46771,860Z200US46771,46771,,,47,3,44,42,0,0,0.0,0,2,0,0,0,0,0,0.0
15546,ZCTA5 46772,860Z200US46772,46772,,,2226,27,2199,2162,0,11,4.0,4,18,2,0,0,0,0,0.0
15547,ZCTA5 46773,860Z200US46773,46773,,,2784,37,2747,2651,6,1,12.0,5,72,24,0,0,0,0,0.0
15548,ZCTA5 46774,860Z200US46774,46774,,,13016,399,12617,11766,355,29,85.0,25,357,91,2,0,0,0,1.0
15549,ZCTA5 46776,860Z200US46776,46776,,,1210,64,1146,1102,4,9,3.0,0,28,11,0,0,0,0,0.0
15550,ZCTA5 46777,860Z200US46777,46777,,,4827,165,4662,4508,23,3,22.0,10,96,26,0,0,0,0,0.0
15551,ZCTA5 46778,860Z200US46778,46778,,,129,2,127,127,0,0,0.0,0,0,0,0,0,0,0,0.0
15552,ZCTA5 46779,860Z200US46779,46779,,,1571,23,1548,1496,8,1,2.0,0,41,8,0,0,0,0,0.0
15553,ZCTA5 46781,860Z200US46781,46781,,,617,13,604,587,0,0,0.0,0,17,3,0,0,0,0,0.0
15554,ZCTA5 46783,860Z200US46783,46783,,,5666,136,5530,5242,87,18,50.0,8,125,22,0,0,0,0,0.0
15555,ZCTA5 46784,860Z200US46784,46784,,,1752,28,1724,1678,3,6,6.0,0,31,1,0,0,1,0,0.0
15556,ZCTA5 46785,860Z200US46785,46785,,,1169,27,1142,1113,0,0,0.0,0,29,2,0,0,0,0,0.0
15557,ZCTA5 46786,860Z200US46786,46786,,,43,0,43,36,2,0,1.0,0,4,4,0,0,0,0,0.0
15558,ZCTA5 46787,860Z200US46787,46787,,,2935,40,2895,2809,8,6,6.0,8,58,7,0,0,0,0,0.0
15559,ZCTA5 46788,860Z200US46788,46788,,,2316,27,2289,2248,4,3,4.0,3,27,5,0,0,0,0,0.0
15560,ZCTA5 46789,860Z200US46789,46789,,,72,3,69,68,0,0,0.0,0,1,1,0,0,0,0,0.0
15561,ZCTA5 46791,860Z200US46791,46791,,,702,26,676,663,0,2,0.0,0,11,2,0,0,0,0,0.0
15562,ZCTA5 46792,860Z200US46792,46792,,,2916,32,2884,2810,5,0,7.0,7,55,16,0,0,0,0,0.0
15563,ZCTA5 46793,860Z200US46793,46793,,,3063,48,3015,2896,8,9,12.0,9,81,23,0,0,4,0,0.0
15564,ZCTA5 46794,860Z200US46794,46794,,,1071,51,1020,983,4,0,2.0,6,25,1,0,1,0,0,0.0
15565,ZCTA5 46795,860Z200US46795,46795,,,4693,53,4640,4499,13,9,6.0,7,106,41,1,0,1,0,0.0
15566,ZCTA5 46796,860Z200US46796,46796,,,39,14,25,22,0,3,0.0,0,0,0,0,0,0,0,0.0
15567,ZCTA5 46797,860Z200US46797,46797,,,2883,43,2840,2750,5,6,10.0,5,64,18,0,0,0,0,0.0
15568,ZCTA5 46798,860Z200US46798,46798,,,986,18,968,918,12,1,1.0,2,34,8,0,0,0,0,0.0
15569,ZCTA5 46799,860Z200US46799,46799,,,354,12,342,329,0,2,0.0,1,10,0,0,0,0,0,0.0
15570,ZCTA5 46802,860Z200US46802,46802,,,8669,1208,7461,5539,1341,31,176.0,39,335,42,6,0,3,0,1.0
15571,ZCTA5 46803,860Z200US46803,46803,,,6612,1283,5329,2227,2578,25,127.0,55,317,22,11,0,1,0,0.0
15572,ZCTA5 46804,860Z200US46804,46804,,,22385,995,21390,18625,1175,44,789.0,80,677,135,4,0,0,0,3.0
15573,ZCTA5 46805,860Z200US46805,46805,,,16247,1012,15235,11975,1671,46,779.0,58,706,101,11,0,15,0,5.0
